lat;lng;couvert;capacite;payant;type
48.9972406949;1.63033819977;OUI;10;OUI;casier
48.9882474949;1.69646589976;NON;8;NON;arceaux
48.9901786949;1.70318909976;NON;17;NON;arceaux
48.9895385949;1.70448239976;NON;13;NON;arceaux
48.9879020949;1.71323839976;NON;3;NON;arceaux
48.9838064949;1.71537219976;NON;10;NON;inconnu
48.9907869949;1.71696389976;NON;2;NON;arceaux
48.6466159949;1.82203399975;NON;8;NON;inconnu
48.9631749949;1.80822159975;NON;24;NON;inconnu
48.9832455949;1.80912449975;OUI;20;NON;abri
48.8155482949;1.87708999974;OUI;10;NON;inconnu
48.7664665949;1.94567589973;NON;26;NON;arceaux
48.8235367949;1.95978099973;NON;0;NON;inconnu
48.8295734949;1.96104559973;OUI;9;NON;ratelier
48.8303280949;1.96349359973;NON;24;NON;arceaux
48.7914733949;1.97239529973;NON;12;NON;arceaux
48.7912340949;1.97288779973;NON;8;NON;arceaux
48.9724544949;1.98368449972;NON;2;NON;inconnu
48.7765351949;2.00058129972;OUI;8;NON;arceaux
49.0169795949;2.00342689972;NON;0;NON;inconnu
48.9808197949;2.00595439972;OUI;10;NON;arceaux
49.0091855949;2.01053089972;NON;0;NON;ancrage
48.9371422949;2.02213989972;NON;12;NON;ratelier
48.6178949949;2.02809859972;NON;2;NON;arceaux
48.6182304949;2.02809359972;NON;2;NON;arceaux
48.6178056949;2.02820309972;NON;2;NON;arceaux
48.5660397949;2.06008509971;NON;0;NON;inconnu
48.7714765949;2.03133349972;NON;12;NON;ratelier
48.7623587949;2.03204919972;NON;6;NON;ratelier
48.7665596949;2.03509729972;NON;12;NON;ratelier
48.7729727949;2.03772319972;NON;4;NON;arceaux
48.7726589949;2.03821329972;NON;15;NON;ratelier
48.7695056949;2.04028799972;NON;6;NON;ratelier
48.7787580949;2.04140889972;NON;4;NON;ancrage
48.7830207949;2.04172229972;OUI;8;NON;arceaux
48.7829950949;2.04189629972;NON;20;OUI;inconnu
48.7915120949;2.04074819972;NON;6;NON;arceaux
48.9183433949;2.02476894712;OUI;28;NON;abri
48.9709827949;2.02751629972;NON;0;NON;inconnu
48.9709513949;2.02786429972;NON;0;NON;inconnu
48.9306139949;2.04015129972;NON;4;NON;arceaux
48.9288373949;2.04179719972;NON;8;NON;arceaux
